date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:42	44919/44919	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Nov%202021%2001:45:51%20GMT	https://nocturne-spider.baicizhan.com/	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/index.html	(from )
14:33:42	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Fri,%2014%20Jul%202023%2006:33:41%20GMT	https://nocturne-spider.baicizhan.com/robots.txt		(from )
14:33:42	1544/1544	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Sep%202020%2007:07:23%20GMT	https://nocturne-spider.baicizhan.com/images/apple-touch-icon-next.png	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/images/apple-touch-icon-next.png	(from https://nocturne-spider.baicizhan.com/)
14:33:43	640/640	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Sep%202020%2007:07:23%20GMT	https://nocturne-spider.baicizhan.com/images/favicon-32x32-next.png	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/images/favicon-32x32-next.png	(from https://nocturne-spider.baicizhan.com/)
14:33:44	435/435	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Sep%202020%2007:07:23%20GMT	https://nocturne-spider.baicizhan.com/images/favicon-16x16-next.png	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/images/favicon-16x16-next.png	(from https://nocturne-spider.baicizhan.com/)
14:33:45	1036/1036	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2008%20Sep%202020%2007:07:23%20GMT	https://nocturne-spider.baicizhan.com/images/logo.svg	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/images/logo.svg	(from https://nocturne-spider.baicizhan.com/)
14:33:47	42283/42283	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Nov%202021%2001:45:51%20GMT	https://nocturne-spider.baicizhan.com/css/main.css	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/css/main.css	(from https://nocturne-spider.baicizhan.com/)
14:33:48	58578/58578	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Sep%202020%2007:07:23%20GMT	https://nocturne-spider.baicizhan.com/lib/font-awesome/css/all.min.css	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/lib/font-awesome/css/all.min.css	(from https://nocturne-spider.baicizhan.com/)
14:33:49	14478/14478	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Nov%202021%2001:45:51%20GMT	https://nocturne-spider.baicizhan.com/archives	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/archives.html	(from https://nocturne-spider.baicizhan.com/)
14:33:49	15936/15936	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Nov%202021%2001:45:51%20GMT	https://nocturne-spider.baicizhan.com/2020/09/02/coco/	/Users/piwang/Desktop/baizhi/nocturne-spider.baicizhan.com/2020/09/02/coco/index.html	(from https://nocturne-spider.baicizhan.com/)
